PESSOA;IDADE;RENDIMENTO_ANUAL;SITUACAO_PROPRIEDADE;ANOS_TRABALHADOS;EMPRESTIMO;MOTIVO_EMPRESTIMO;PONTUACAO;VALOR_EMPRESTIMO;JUROS;POSSIB_INADIMPLENCIA;EMPRESTIMO_PERC_RENDA_ANUAL;SOLICITACAO;INADIMPLENTE;ANOS_PRIMEIRO_CREDITO
WXqkgy4i-lLX0;25.0;58020.0;Alugada;9.0;uIe8aQoy-hIqe;Pessoal;A;2000.0;6.91;0.0;0.03;dlqxbvAI-6b0K;0.0;4
duaNutsR-3WUc;28.0;61000.0;Alugada;9.0;x5vU1QNy-Ef7b;Pessoal;B;25000.0;9.91;1.0;0.41;FQ6lnvgr-2l6q;0.0;7
01mYIc8o-5SsX;22.0;45000.0;Alugada;3.0;zzGGi9ec-u2LF;Empreendimento;B;5000.0;12.42;0.0;0.11;2l0WvCkT-vCj9;0.0;2
RYzaKgT3-rCwx;29.0;35000.0;Alugada;12.0;BldAdx3r-PA8T;Pagamento de débitos;A;1800.0;5.42;0.0;0.05;ASkICWNk-c9NY;0.0;7
CZWcNgWA-kbk4;26.0;87000.0;Hipotecada;9.0;MjTNYsmN-6qBc;Pagamento de débitos;C;25000.0;12.73;0.0;0.29;FxGG9RvP-Le3z;0.0;2
yqR4vYfF-k8B1;24.0;55000.0;Hipotecada;8.0;9xQKOhnz-LrpZ;Médico;B;15000.0;9.91;0.0;0.27;JoCZcfDw-wRPD;0.0;3
nTOKgZCT-YPUD;29.0;115000.0;Hipotecada;3.0;t9dKvc6a-4eAL;Médico;C;22000.0;15.23;0.0;0.19;IEHObaim-KPC9;1.0;7
YcsNIdbf-tpgT;36.0;46000.0;Alugada;2.0;ZiIYXvD7-5Pca;Pagamento de débitos;C;10000.0;12.53;0.0;0.22;uRyGLHSl-yawC;0.0;14
LTD2XdcS-ZCv4;24.0;65000.0;Hipotecada;6.0;ob9Yrlfi-Ocpc;Pessoal;B;11000.0;11.49;0.0;0.17;iBDB52Wo-4WAb;0.0;2
WTaTWD7R-nB26;28.0;72000.0;Hipotecada;9.0;emllPw3q-SPlj;Melhora do lar;B;18000.0;11.89;0.0;0.25;l45L15fR-YZxS;0.0;8
flpZfspk-bUuL;23.0;54500.0;Alugada;2.0;4NHe4vfi-QLvW;Pagamento de débitos;A;8000.0;;0.0;0.15;fbc8cPEp-uJEB;0.0;2
8Fbppelu-eKnR;23.0;42000.0;Alugada;4.0;W3QjfBO2-jmhO;Pessoal;A;10000.0;5.42;0.0;0.24;S9zMallF-rruw;0.0;3
vX0220AL-N1Xc;28.0;48000.0;Alugada;5.0;2OuPu8qh-deSt;Pagamento de débitos;B;15000.0;11.99;1.0;0.31;KSWNLJ5O-9B30;0.0;10
355PvPHL-0vhC;29.0;90000.0;Hipotecada;14.0;x8B2bLLP-a4WB;Melhora do lar;B;15000.0;11.11;0.0;0.17;A4wzjCDZ-t27i;0.0;9
mvkJyvGc-yYuw;22.0;54000.0;Alugada;4.0;h0oDhLmM-OrEm;Pagamento de débitos;C;9000.0;15.96;0.0;0.17;IKk1KTWI-y4IG;1.0;3
bRYeof0L-cqHI;30.0;100000.0;Alugada;13.0;0T2YFLWb-IZze;Pagamento de débitos;A;12000.0;7.88;0.0;0.12;0Y1a64ag-4RLW;0.0;9
OQXEoNPl-hL0f;23.0;24000.0;Própria;7.0;QxdBboWP-KKFh;Educativo;A;5000.0;7.49;0.0;0.21;Ue0IMCKa-d0AQ;0.0;2
gPzGTvzd-YCHw;22.0;29000.0;Alugada;2.0;FptECc0u-OiGF;Educativo;B;10500.0;9.99;1.0;0.36;ME0OTs5h-qjMp;0.0;3
ER2fcnk6-XhNN;22.0;80000.0;Hipotecada;5.0;P6kekLZk-o2vx;Empreendimento;B;9500.0;11.71;0.0;0.12;zumQqjxf-0gct;0.0;3
hRO9kOL5-Y29L;26.0;65000.0;Hipotecada;11.0;qBv7Ad3u-unNs;Empreendimento;A;12000.0;7.9;0.0;0.18;J7M98CyW-tebW;0.0;2
GF79eYM4-xcMP;22.0;32000.0;Alugada;1.0;UJDU4wt1-yGWW;Educativo;D;5400.0;16.29;1.0;0.17;DOMft98J-Z3qm;1.0;2
juwMpikI-PHjn;36.0;40000.0;Própria;4.0;0ae6R2mT-ZRFL;Empreendimento;B;14000.0;10.99;0.0;0.35;SibJdNKl-Uz6I;0.0;16
l1Q6uewq-icSh;24.0;103000.0;Hipotecada;8.0;nzYZR2uU-JhcK;Pessoal;B;8000.0;10.74;0.0;0.08;Z6Q1EgJd-Mcdi;0.0;3
hBn6Nj78-fvgu;26.0;31200.0;Alugada;8.0;w1JRom7y-y1od;Pessoal;A;5000.0;8.63;0.0;0.16;2SebLJsQ-lj5F;0.0;2
zKhBXo2u-WqgH;23.0;70000.0;Hipotecada;5.0;oWxhfJ5z-XbcS;Educativo;B;20000.0;12.21;0.0;0.29;dNdJZagZ-EYux;0.0;4
4BCj5iMI-SvAr;27.0;22800.0;Hipotecada;11.0;dzApwnYM-OIBi;Médico;B;2500.0;10.99;0.0;0.11;nAqbykfb-2whQ;0.0;10
qqBMyInS-aGKl;25.0;43000.0;Alugada;2.0;Q8H92GQ5-Fd74;Empreendimento;A;7800.0;7.14;0.0;0.18;cjShcUOG-HxrO;0.0;3
9Zt0XpIL-gGtx;27.0;12000.0;Própria;0.0;JaQQSRMK-MlFG;Educativo;D;8125.0;14.42;1.0;0.68;GEqKtWh8-ItAd;1.0;5
pwTzr4SQ-47xw;33.0;62400.0;Alugada;4.0;KGblymA5-FOvO;Educativo;B;15000.0;11.99;0.0;0.24;AaFWnCZ5-rQWE;0.0;8
Nd27XiBX-lXUd;32.0;160000.0;Hipotecada;2.0;T3wsKLZm-NLwO;Médico;B;3200.0;;0.0;0.02;PRJU1oaG-yona;0.0;5
WOm68ybv-4qfz;24.0;54000.0;Própria;8.0;j48vDxzd-WzCt;Pessoal;B;10000.0;10.99;0.0;0.19;TNUugZc5-GAmi;0.0;3
OUcAOZQh-aQLy;39.0;65000.0;Hipotecada;3.0;9dov9RBP-etrY;Educativo;D;6000.0;15.62;0.0;0.09;LaJgumz0-dtyI;1.0;14
DWSEWuzW-0YNY;28.0;34000.0;Alugada;1.0;EenI4oK7-W08Q;Empreendimento;B;4800.0;11.49;0.0;0.14;wAxLWQ8O-powv;0.0;7
491clhel-r6QN;24.0;54400.0;Hipotecada;8.0;vBqQxCT6-Cp8J;Pagamento de débitos;C;12000.0;;0.0;0.22;qZFFgtOj-MfKf;1.0;4
